Customer ID,Recency,Frequency,Monetary
12346.0,325,34,77556.46
12347.0,2,222,4921.53
12348.0,75,51,2019.4
12349.0,18,175,4428.69
12350.0,310,17,334.4
12351.0,375,21,300.93
12352.0,36,103,2849.84
12353.0,204,24,406.76
12354.0,232,58,1079.4
12355.0,214,35,947.61
12356.0,22,142,6371.73
12357.0,33,296,18287.66
12358.0,1,77,3887.07
12359.0,57,362,8873.39
12360.0,52,217,4252.89
12361.0,287,29,511.25
12362.0,3,267,5356.23
12363.0,109,23,552.0
12364.0,7,85,1313.1
12365.0,291,22,641.38
12366.0,633,3,500.24
12367.0,4,11,168.9
12368.0,628,18,917.6999999999999
12369.0,413,93,1791.15
12370.0,51,201,4316.56
12371.0,44,167,4067.38
12372.0,71,52,1298.04
12373.0,311,51,1127.65
12374.0,25,83,2989.2200000000003
12375.0,10,17,457.5
12376.0,389,13,503.15
12377.0,315,152,3426.32
12378.0,129,301,5416.32
12379.0,81,81,1620.22
12380.0,21,277,9676.300000000001
12381.0,4,87,1845.31
12383.0,184,99,1850.56
12384.0,28,27,585.27
12385.0,379,65,1938.4
12386.0,337,10,401.9
12387.0,415,9,143.94
12388.0,15,146,3901.11
12389.0,402,49,1433.33
12390.0,79,32,549.84
12391.0,21,267,2724.84
12392.0,591,7,234.75000000000003
12393.0,72,107,2399.4500000000003
12394.0,63,27,1272.48
12395.0,19,242,4721.17
12396.0,674,65,931.43
12397.0,35,126,2409.9
12398.0,45,85,1635.6599999999999
12399.0,119,110,1962.3
12400.0,414,11,205.25
12401.0,303,5,84.3
12402.0,323,70,1256.9
12403.0,49,9,1019.36
12404.0,682,1,63.24
12405.0,148,54,1710.39
12406.0,22,166,6390.36
12407.0,49,77,1708.1200000000001
12408.0,32,159,4340.7699999999995
12409.0,78,264,23419.29
12410.0,308,40,1013.71
12411.0,409,22,346.9
12412.0,74,127,2596.93
12413.0,66,51,999.45
12414.0,217,28,952.41
12415.0,24,928,144458.37
12416.0,656,11,202.56
12417.0,3,370,6797.41
12418.0,112,102,2021.2
12419.0,385,25,503.01
12420.0,63,29,600.39
12421.0,15,65,1098.6
12422.0,95,172,5231.8
12423.0,0,165,2622.39
12424.0,162,92,3340.03
12425.0,78,91,1741.41
12426.0,194,77,1345.21
12427.0,21,31,825.8
12428.0,25,294,7956.46
12429.0,9,153,6204.41
12430.0,43,11,256.4
12431.0,35,391,10432.22
12432.0,42,108,5059.32
12433.0,0,559,16794.14
12434.0,84,70,1103.43
12435.0,79,112,13925.93
12436.0,99,16,509.01
12437.0,1,564,12683.4
12438.0,14,98,2906.85
12439.0,682,71,1142.88
12440.0,462,32,859.2
12441.0,366,11,173.55
12442.0,3,12,172.06
12443.0,732,21,485.31
12444.0,21,177,5005.46
12445.0,22,24,434.98
12446.0,57,58,1002.3100000000001
