Recency,Frequency,Monetary
39,13,427.93
11,832,8018.7699999999995
29,296,5117.66
679,19,171.13
15,54,280.09000000000003
2,131,3289.66
24,50,2201.96
8,115,294.25
31,252,2957.4700000000003
226,26,201.19
381,29,583.39
388,18,239.45999999999998
486,1,30.599999999999998
656,11,293.53
302,16,238.85
14,15,196.79000000000002
280,231,4579.23
302,844,4867.57
67,85,1019.13
208,16,1028.56
127,67,1088.35
617,21,379.2
266,7,152.55
649,26,189.63
2,747,5297.77
448,43,980.25
51,46,3151.4
112,9,139.26
53,270,4814.37
17,163,1041.16
30,75,2123.61
133,55,2494.14
18,149,528.36
261,94,1594.69
274,2,660.0
218,9,208.36
51,131,3037.61
128,50,4359.2
138,7,299.57
40,343,2361.3
722,11,329.58
469,27,515.0
431,49,1037.28
86,1,228.96
71,45,667.65
163,8,316.09000000000003
243,28,287.05
32,167,3076.06
232,197,3637.64
338,155,1044.65
260,56,1033.9
36,143,1679.81
45,20,393.54
378,15,188.46
558,25,496.5
540,23,385.56
605,44,369.02
375,53,244.37
10,33,8510.93
64,59,695.42
25,83,465.88
283,63,1227.35
648,15,318.34000000000003
331,29,492.65000000000003
175,17,340.93
163,106,1894.93
35,247,4073.13
67,41,1077.81
2,392,7720.9
9,28,689.1
529,15,219.35
302,31,635.15
66,184,3050.16
218,2,344.0
512,180,3120.91
534,1,320.0
1,154,2919.65
73,393,3379.93
72,18,1158.8
2,230,1529.0
434,14,251.1
30,284,2533.06
726,26,261.7
71,51,743.53
386,33,273.31
36,42,741.54
126,469,4623.28
486,7,139.95000000000002
22,504,11214.75
421,74,1041.21
38,365,7679.59
101,69,954.26
25,486,1430.03
50,101,3133.96
213,128,3484.09
26,240,2596.9700000000003
65,28,711.5
554,13,63.6
44,74,1087.66
390,88,944.82
43,329,6308.0
236,122,1446.95
192,34,842.0400000000001
31,24,2328.84
61,191,528.01
85,50,299.18
126,65,2246.75
376,38,526.27
3,69,1053.49
11,455,1752.92
1,289,4558.29
395,48,3999.8900000000003
458,12,208.62
21,57,1160.07
217,208,942.38
8,357,1793.06
502,187,1306.96
373,26,471.14
192,42,745.62
29,34,640.45
24,137,1825.45
73,227,5879.95
142,38,599.68
100,155,2727.72
2,909,7354.43
21,23,362.8
131,189,5635.41
46,465,8501.62
511,6,175.5
32,37,566.58
631,4,222.95999999999998
12,794,8184.49
2,53,758.29
33,201,4534.57
267,37,914.9300000000001
59,25,397.12
3,77,1295.39
47,161,1698.57
